ID,Cliente,Producto,Region,Edad,Precio,Fecha,Ventas
4760,Alejandro Diaz,Escritorio,Sur,42,"$1,100.92",06-02-2026,1539.26
5737,Ana Garcia,Escritorio,Centro,34,$445.79,,1570.47
404,Andres Ortiz,Escritorio,Norte,38,$-667.47,10/09/2024,1198.38
7488,Isabel Guzman,Bocina,Centro,28,"$1,093.00",05-10-2024,1408.18
8575,Sofia Torres, Laptop,sur,25,1580.60,02-04-2025,1775.62
6888,Camila Reyes,Monitor,Norte,39,951.60,2025-11-24,1719.73
3617,Luis Hernandez,Laptop,norte,38,"$1,358.57",2024-02-03,1157.91
5614,Pedro Aguilar,Mouse,sur,41,$122.61,2024-10-27,1412.21
2406,Carlos Ramirez,Bocina,Occidente,14,456.28,,1341.82
4382,Paola Rios,Laptop,?,49,559.47,Agosto 5 2024,1011.01
6664,Diego Romero,ESCRITORIO,Norte,28,1185.79,03-18-2024,1999.27
5658,Maria Lopez,Tablet,Centro,37,1524.16,,1876.69
5331,Pedro Aguilar,Bocina,Sur,50,"$1,158.39",09-10-2024,1452.08
2863,Diego Romero,Teclado,Sur,40,1220.87,Marzo 6 2025,1572.24
3433,Maria Lopez,Tablet,Sur,21,$690.12,Junio 26 2025,804.34
5101,Diego Romero,Mouse,Centro,50,"$1,347.39",Enero 6 2026,833.02
6989,Andres Ortiz,Impresora,norte,36,$863.75,Agosto 29 2024,1612.7
5049,Sofia Torres,Impresora,norte,51,"$1,184.93",05/04/2025,1053.88
3276,Camila Reyes,Bocina,Norte,58,$985.43,25/06/2024,1001.99
8830,Jose Martinez,Impresora,Sur,49,"$1,216.38",07/08/2024,2122.65
3160,Isabel Guzman, Laptop,SUR,30,"$1,458.85",Enero 26 2026,1450.78
3318,Paola Rios,Impresora, Occidente,34,603.16,27/09/2024,1504.05
749,Laura Sanchez,Escritorio,Norte,33,$713.50,2025-03-28,1178.65
7409,Laura Sanchez, Tablet,Centro,43,"$1,151.32",24/11/2025,1509.22
5063,Sofia Torres,Impresora,Occidente,50,"$1,274.14",21/05/2025,1269.67
1773,Pedro Aguilar,Tablet,Norte,desconocida,$953.22,2025-10-18,2231.42
2730,Miguel Flores,Teclado, Centro,27,505.45,24/01/2024,768.47
4229,Sofia Torres,Bocina,Norte,26,"$-1,093.01",07-19-2024,897.97
8512,Daniela Cruz,Laptop,NORTE,35,$-776.22,07-21-2025,1533.26
4215,Valeria Mendoza,Mouse,Sur,36,"$1,396.09",02-01-2024,1246.58
5899,Isabel Guzman,Teclado,CENTRO,31,$753.84,05/08/2025,1610.95
3847,Diego Romero,Teclado,Norte,26,$823.25,07-21-2025,2066.33
6131,Sofia Torres,Mouse,Occidente,40,$694.01,Febrero 24 2025,1215.45
2209,Camila Reyes,Escritorio,Occidente,56,1214.32,05-07-2026,1969.37
2245,Carlos Ramirez,Bocina,Sur,30,1251.07,29/12/2024,1409.71
4252,Luis Hernandez,Impresora,norte,18,$687.21,32/13/2026,942.85
4165,Carlos Ramirez,Mouse,sur,28,1325.24,09-27-2025,1016.17
2898,Alejandro Diaz,TABLET,centro,44,"$1,195.94",27/05/2026,1733.78
2044,Carlos Ramirez,Impresora,Norte,22,886.44,Octubre 17 2024,1417.29
3561,Luis Hernandez,Tablet,Norte,52,$443.19,2025-08-01,1175.02
1749,Pedro Aguilar, Camara,N/A,26,$434.49,2025-08-04,1790.42
8531,Carlos Ramirez,Silla,Sur,59,846.88,30/04/2026,2277.28
2879,Valeria Mendoza,Monitor,Occidente,45,1116.44,03-02-2024,1469.83
5082,Andres Ortiz,Monitor,norte,26,$867.57,2024-10-14,1518.71
439,Camila Reyes,Mouse,Norte,42,"$1,586.80",2025-01-11,1823.01
9703,Ana Garcia,Laptop,Occidente,27,$560.67,2024-04-02,1199.63
8806,Ana Garcia,Teclado,Norte ,24,"$1,006.68",2026-01-02,939.81
6567,Valeria Mendoza,IMPRESORA,Centro ,54,sin dato,Septiembre 8 2025,1885.71
8804,Diego Romero,Teclado,Sur ,50,716.61,06-09-2026,620.41
8632,Alejandro Diaz,MONITOR,Occidente,42,190.34,Enero 27 2024,1902.72
3303,Miguel Flores,Laptop,occidente,25,945.18,19/02/2025,1075.45
4643,Camila Reyes,Monitor,Sur,43,$-912.68,2025-02-27,1681.34
4033,Jorge Morales,Monitor, Sur,32,511.77,,2153.98
1967,Ricardo Vargas, Laptop,Norte,49,324.76,2026-01-30,1789.66
1997,Jose Martinez,Laptop,SUR,36,517.55,2024-10-05,1468.67
5059,Pedro Aguilar,BOCINA,CENTRO,46,$431.58,Junio 2 2026,1260.73
3625,Diego Romero,Tablet,Norte,33,$725.91,2024-12-17,1423.24
7909,Sofia Torres,Impresora,Occidente,45,$763.91,04-29-2025,1172.39
6752,Alejandro Diaz,Bocina, Sur,40,694.64,03-16-2026,1132.79
4657,Andres Ortiz,Impresora,occidente,27,"$1,216.71",17/10/2025,1676.25
5645,Ana Garcia,Monitor, Occidente,32,$572.95,2024-12-13,746.48
5118,Pedro Aguilar,Silla,sur,,888.21,04-27-2025,1071.48
691,Isabel Guzman,BOCINA,sur,23,$845.85,30/06/2025,1136.49
632,Camila Reyes,Impresora,OCCIDENTE,47,$763.42,Agosto 20 2025,1294.78
8888,Daniela Cruz,Escritorio,CENTRO,34,$879.07,11-29-2024,1239.81
6022,Ricardo Vargas, Impresora,Centro ,58,sin dato,Abril 14 2026,1601.92
5776,Andres Ortiz,Mouse,OCCIDENTE,27,"$1,051.71",23/01/2026,1770.27
916,Miguel Flores,Tablet,Centro,27,1498.90,2025-10-18,1477.18
9227,Jorge Morales,Monitor,Occidente ,36,$981.58,09-19-2025,1215.52
3699,Diego Romero,Mouse,Sur,60,"$1,274.92",2024-07-03,1693.82
8230,Carlos Ramirez,Mouse,Sur,47,$561.71,2025-02-27,1293.7
3978,Carlos Ramirez,Teclado,Centro,45,324.56,08-27-2025,1449.51
9117,Jorge Morales,Impresora, Occidente,23,718.83,09-05-2024,1616.64
8561,Isabel Guzman,Impresora,Norte,52,$163.53,Agosto 4 2024,1634.92
6293,Jose Martinez,Impresora,Sur ,47,$723.18,Abril 13 2026,1197.99
869,Ana Garcia,Tablet,OCCIDENTE,45,875.46,,1185.06
8832,Daniela Cruz,MOUSE,Sur,42,925.31,Abril 27 2024,1351.97
5263,Fernanda Castro,Impresora,Occidente ,23,$992.22,2026-02-08,1501.26
9465,Ricardo Vargas,Escritorio,Centro,28,$311.35,2025-12-07,1793.34
9928,Andres Ortiz,Mouse, Sur,40,1157.10,21/03/2024,1562.29
3262,Miguel Flores,Silla,Centro,22,845.17,2026-03-18,1697.72
7614,Carlos Ramirez,ESCRITORIO,Norte,29,1280.00,2025-03-18,1375.27
1588,Fernanda Castro,LAPTOP,Sur ,31,663.05,26/10/2025,932.15
572,Jose Martinez,Monitor,Norte,31,$941.40,11/03/2024,1501.2
5278,Sofia Torres,SILLA,Norte,41,528.47,32/13/2026,1354.93
8537,Pedro Aguilar,Mouse,Sur,47,1078.00,2026-06-06,1571.62
3827,Laura Sanchez,Impresora,Centro,18,645.58,2025-12-04,848.9
6502,Isabel Guzman,Impresora,Norte,30,"$1,089.01",,1681.63
3406,Jose Martinez,Silla,OCCIDENTE,6,"$1,031.37",04-09-2026,546.79
6474,Pedro Aguilar,Bocina,Sur,14,890.05,Abril 27 2025,762.98
2978,Alejandro Diaz, Teclado,CENTRO,38,$629.67,Diciembre 4 2025,1266.43
9326,Daniela Cruz,Tablet, Centro,44,985.12,,1366.25
6441,Jorge Morales,Laptop,SUR,20,889.30,2025-02-17,1438.25
2499,Paola Rios,Silla,Norte,22,738.48,,1384.7
3172,Ana Garcia,Tablet,Norte,36,$420.38,2025-11-11,1897.13
1901,Alejandro Diaz,Teclado,Centro,45,"$1,423.64",Diciembre 5 2025,1678.16
9506,Isabel Guzman,Tablet,Occidente,50,628.59,2025-01-04,1743.97
871,Fernanda Castro,Silla,Centro,30,$839.84,Noviembre 6 2024,2001.29
63,Miguel Flores,Tablet,Norte,67,969.59,2024-11-30,1949.81
5374,Sofia Torres,LAPTOP,Norte,35,414.58,Octubre 24 2025,1466.2
3621,Camila Reyes,Mouse, Centro,38,sin dato,09-20-2024,745.5
2316,Alejandro Diaz,Teclado, Sur,33,sin dato,10-18-2024,1436.76
9557,Andres Ortiz,Teclado,Norte,38,"$1,238.77",17/05/2025,2050.9
3360,Andres Ortiz,Monitor,Occidente,29,1023.45,2025-04-16,1073.48
5822,Valeria Mendoza,Impresora,Norte,29,541.07,07/04/2024,1182.08
1268,Carlos Ramirez,TABLET,Norte,14,813.63,03-18-2025,1420.96
66,Ana Garcia,Silla,Sur,26,1181.30,Diciembre 3 2024,1086.27
7342,Jorge Morales,Tablet,Centro,44,$681.66,11-22-2024,1090.87
9383,Carlos Ramirez,Laptop,Occidente,42,1051.57,2024-04-15,966.82
1783,Valeria Mendoza,LAPTOP,centro,47,$520.60,05-23-2025,1156.88
8729,Laura Sanchez,Escritorio,Sur,28,$353.33,14/12/2024,1553.06
8884,Fernanda Castro,Silla,Centro ,33,1162.50,2026-06-12,1067.67
6017,Alejandro Diaz,Laptop,Occidente,27,"$1,064.76",11/01/2024,1557.19
9889,Alejandro Diaz,Escritorio,centro,45,"$1,257.44",03-15-2025,1605.21
4027,Maria Lopez,Monitor,N/A,37,447.21,Septiembre 2 2025,1452.49
8363,Luis Hernandez,Monitor, Centro,38,$571.14,11-29-2024,1691.13
7066,Ricardo Vargas,Camara,OCCIDENTE,30,sin dato,20/04/2026,1344.65
6081,Maria Lopez,Impresora,occidente,19,1094.23,09/05/2025,1336.33
2200,Maria Lopez,Monitor,?,36,$432.66,03-11-2025,1898.48
8841,Carlos Ramirez,Tablet,Norte,44,$736.12,2025-07-24,1107.35
9173,Diego Romero,Teclado,Centro,47,736.11,Febrero 3 2025,907.05
5012,Camila Reyes,Monitor,OCCIDENTE,29,846.42,2024-02-04,1627.68
6485,Paola Rios,Tablet,Occidente,49,907.12,Junio 12 2024,1297.47
2442,Valeria Mendoza,Escritorio,centro,34,283.92,32/13/2026,1967.43
2396,Isabel Guzman,Mouse,Centro,34,$859.63,2025-07-14,1339.5
1173,Andres Ortiz,Impresora,Centro,33,806.60,Junio 9 2026,1777.76
3107,Alejandro Diaz,Impresora,norte,45,"$1,018.37",01-22-2026,1651.54
7562,Alejandro Diaz, Silla,Occidente,33,1024.51,09-08-2025,1381.42
1408,Camila Reyes, Escritorio,norte,47,$341.13,03/11/2024,1458.98
7308,Sofia Torres,Laptop,Centro,42,"$1,520.54",2025-04-11,2043.37
53,Pedro Aguilar,Mouse,Centro ,49,$401.01,10/06/2024,1632.07
4918,Camila Reyes,Bocina,Centro,48,1020.24,Abril 21 2024,1374.67
5937,Jose Martinez,Camara,Centro,49,1150.87,11-26-2025,1749.14
2464,Sofia Torres,Monitor,Occidente,35,183.92,2025-09-16,1449.2
6260,Ana Garcia,Teclado,occidente,44,"$1,446.72",10/12/2024,1305.64
718,Jose Martinez,Camara,Sur ,29,$891.20,13/03/2025,1503.24
1181,Diego Romero,Mouse,Centro,29,sin dato,21/04/2024,1908.11
7945,Jorge Morales,Laptop,Norte,56,$50.00,21/07/2025,1902.52
8507,Laura Sanchez,Silla,Norte,27,$592.04,2024-05-30,1134.19
8531,Carlos Ramirez,Silla,Sur,59,846.88,30/04/2026,2268.96
3709,Luis Hernandez,LAPTOP,Sur,40,1223.37,05-14-2025,770.16
1731,Isabel Guzman,IMPRESORA,N/A,41,$468.67,03/06/2024,1857.62
4104,Andres Ortiz,Mouse,norte,31,1311.64,18/08/2024,1142.55
1978,Luis Hernandez, Impresora,Norte,53,$757.79,08-12-2025,1228.66
897,Maria Lopez,Laptop,Norte,37,$545.09,03-15-2025,1058.6
8241,Maria Lopez, Teclado,Centro ,36,814.33,Enero 24 2025,1263.43
9834,Maria Lopez,Tablet,Centro,-2,817.46,2024-08-04,1065.72
6018,Andres Ortiz,Mouse, Sur,43,$447.57,2025-09-03,1242.92
8122,Maria Lopez,Impresora,Centro,31,$576.97,10-20-2024,1439.88
2339,Ricardo Vargas,Teclado,occidente,28,928.36,20/01/2024,1210.57
501,Sofia Torres, Silla,Norte,53,$605.70,32/13/2026,1490.32
6310,Alejandro Diaz,Bocina,Centro,43,sin dato,10-22-2025,714.46
5354,Alejandro Diaz,Monitor,Norte,26,"$1,348.27",04-17-2026,2086.35
7189,Miguel Flores,Monitor,Centro ,49,686.30,Mayo 6 2025,1602.07
1253,Sofia Torres,Laptop,Occidente,32,$573.08,02-28-2025,986.12
2018,Maria Lopez,Tablet,Centro,42,568.20,05-27-2024,1843.2
8662,Carlos Ramirez,Monitor,NORTE,38,$834.31,10-19-2025,1323.75
7670,Diego Romero,Escritorio,centro,21,777.42,26/07/2025,1623.7
4800,Camila Reyes, Laptop,norte,42,$844.43,08/03/2025,919.85
7997,Alejandro Diaz,Impresora,Occidente,58,sin dato,05/05/2025,2310.06
4426,Pedro Aguilar,Escritorio, Centro,5,"$1,200.64",Mayo 4 2024,1156.72
6735,Laura Sanchez,Bocina,NORTE,18,$890.12,2026-02-09,798.57
3921,Daniela Cruz,Mouse,Sur,56,$646.92,Abril 11 2026,1145.59
4407,Jose Martinez,Monitor,sur,-4,"$1,003.01",04/05/2024,1292.62
9232,Fernanda Castro,Mouse,Occidente,57,$488.98,Noviembre 5 2024,1395.88
5949,Maria Lopez,Escritorio,occidente,32,869.41,12/02/2024,1247.52
379,Valeria Mendoza,Monitor,Norte,34,609.17,2024-07-18,1243.45
5616,Luis Hernandez, Tablet,Occidente,50,$681.29,29/01/2026,1912.78
7515,Laura Sanchez,Teclado,SUR,43,$707.83,08-05-2025,1226.31
9899,Luis Hernandez,Impresora, Centro,-6,$615.03,2025-07-16,1643.16
1392,Ricardo Vargas,Teclado,Norte ,41,$-907.18,05/11/2025,1699.32
6827,Andres Ortiz,Impresora, Centro,41,$771.10,Diciembre 29 2025,1751.58
8167,Maria Lopez, Monitor,occidente,38,"$-1,245.86",Agosto 24 2024,634.62
346,Fernanda Castro,Teclado,Centro ,10,1100.33,03-04-2024,1526.44
9055,Diego Romero,Monitor,Occidente,20,869.47,03-08-2026,1373.84
6767,Andres Ortiz,Bocina,Centro,-2,"$1,288.92",30/12/2024,1758.12
7913,Pedro Aguilar, Silla,OCCIDENTE,26,978.31,2024-09-30,2076.86
3024,Camila Reyes,Camara,Sur,37,"$1,238.71",32/13/2026,1188.75
1364,Paola Rios,Camara,Sur,29,$960.78,20/06/2024,1949.03
1720,Ana Garcia,Escritorio, Sur,51,704.60,Abril 28 2025,1545.52
1024,Diego Romero,Monitor,OCCIDENTE,34,726.59,04-24-2025,1204.62
1299,Sofia Torres,Tablet,Norte,11,"$1,137.12",,805.27
7328,Jose Martinez,Mouse,Norte,30,"$1,194.97",32/13/2026,1912.52
5179,Diego Romero,Laptop,Sur,19,"$1,121.57",2024-08-23,2091.68
8721,Ana Garcia,Monitor,Centro,44,873.19,Octubre 30 2025,1232.35
9460,Ana Garcia,Mouse,Occidente,72,900.65,09-15-2025,1801.91
9312,Daniela Cruz,MOUSE,Sur,27,974.94,Septiembre 11 2025,1593.37
3311,Diego Romero, Escritorio,Norte,47,$772.40,11-22-2024,1204.25
2435,Isabel Guzman,Impresora,CENTRO,45,"$1,340.79",04-23-2026,561.83
7712,Fernanda Castro,Bocina,sur,41,946.50,02-29-2024,1390.35
7611,Alejandro Diaz,Monitor,Centro,37,$606.43,Marzo 2 2026,1808.67
7955,Isabel Guzman,Tablet,Sur,40,624.10,2024-09-21,1852.17
4497,Carlos Ramirez,Escritorio,Sur,52,"$1,290.03",03-05-2025,1318.06
9203,Fernanda Castro,Impresora,Centro ,-3,$223.99,2024-03-29,1055.83
9373,Jose Martinez,LAPTOP, Sur,25,$968.49,02/03/2025,1058.18
6388,Fernanda Castro,Camara,Occidente,42,sin dato,2026-03-05,1555.33
164,Isabel Guzman,LAPTOP,Sur,25,909.07,09/06/2025,1276.29
7372,Daniela Cruz,Teclado,Occidente,23,$333.11,Marzo 16 2025,1340.04
2012,Paola Rios,TECLADO,sur,29,sin dato,19/12/2024,1090.55
8174,Maria Lopez,Tablet,Sur,desconocida,$552.06,15/06/2024,1630.8
1527,Miguel Flores, Camara,CENTRO,33,1174.31,22/03/2026,1327.95
2550,Valeria Mendoza,Monitor,Centro,37,1147.08,Junio 6 2026,1075.94
7171,Fernanda Castro, Impresora, Norte,22,1472.71,2026-02-26,1733.72
3476,Pedro Aguilar,Laptop,Sur,32,"$1,117.15",06/03/2024,1936.56
695,Carlos Ramirez,Impresora,Norte,69,$882.35,27/04/2025,1323.46
9312,Daniela Cruz,MOUSE,Sur,27,974.94,Septiembre 11 2025,1593.37
8084,Daniela Cruz,CAMARA,centro,36,795.76,04/01/2026,1492.59
5139,Carlos Ramirez,Teclado,Norte,35,$535.37,17/07/2025,1240.07
2710,Maria Lopez, Monitor,Norte ,63,$484.49,03/04/2025,1220.46
4707,Paola Rios, Mouse, Occidente,27,$377.45,08/02/2026,1170.42
8427,Andres Ortiz,BOCINA,NORTE,35,$917.99,29/12/2025,1692.5
7509,Valeria Mendoza,Mouse,Norte,53,1390.84,2024-10-17,1937.87
2996,Carlos Ramirez,Teclado,Norte,46,"$-1,191.20",Febrero 28 2025,1097.34
3998,Maria Lopez,Mouse,Norte,50,$524.19,2025-09-03,1414.3
2515,Miguel Flores,Impresora,Norte,31,sin dato,,1072.68
9178,Fernanda Castro,Escritorio,Occidente,47,sin dato,01-17-2024,597.91
1874,Pedro Aguilar,Impresora,occidente,36,635.22,2026-02-27,2037.47
2786,Andres Ortiz, Camara,centro,49,1027.13,05-04-2026,1555.92
9462,Luis Hernandez,Impresora,sur,36,$888.61,07-12-2024,1637.23
2606,Carlos Ramirez,Escritorio,Centro,-1,sin dato,05-09-2026,1343.97
4939,Camila Reyes,Teclado,Centro ,-9,$946.85,19/06/2025,1599.3
6572,Carlos Ramirez,Impresora,Centro,-8,683.71,2024-06-10,1549.78
98,Paola Rios,Impresora,Centro,45,$815.58,01-31-2025,1977.55
7013,Luis Hernandez,Laptop,Centro,48,$511.66,23/01/2024,1470.85
8399,Miguel Flores,Bocina,Centro ,38,1025.83,Octubre 14 2024,1000.58
5558,Alejandro Diaz,Impresora,Sur,23,111.34,2024-09-11,712.93
5787,Ricardo Vargas,Bocina,Occidente ,75,1296.11,03-12-2024,1680.03
5548,Andres Ortiz,Bocina,Centro,30,1036.10,,1411.23
9063,Miguel Flores,Monitor,norte,47,"$1,172.63",2024-09-01,1338.95
2452,Paola Rios,Tablet,Occidente,45,"$1,045.36",2024-11-05,1565.7
9548,Laura Sanchez,Monitor,Centro,41,$545.93,02-09-2025,1759.36
7703,Daniela Cruz,Laptop,norte,38,"$1,260.45",22/10/2024,1436.01
6808,Carlos Ramirez,Tablet,Sur,50,"$1,115.67",04/06/2024,1578.64
9023,Daniela Cruz,Silla,Centro,57,$260.23,2025-06-28,1439.04
141,Ana Garcia,Tablet,Occidente,52,915.45,Enero 9 2026,1906.97
6690,Fernanda Castro,Escritorio,centro,32,731.66,2026-01-09,2144.79
642,Pedro Aguilar,Escritorio,Centro,66,$177.08,2024-12-17,1557.4
5958,Jose Martinez,Escritorio,Occidente ,29,1177.80,Marzo 15 2024,1526.29
3450,Laura Sanchez,Teclado,norte,25,$849.56,2024-06-02,1460.58
8424,Andres Ortiz,Camara,Occidente,49,763.91,2025-02-07,1366.88
9589,Ana Garcia,Tablet,Centro ,29,"$1,209.76",2026-04-16,1889.12
8069,Valeria Mendoza,Teclado,Occidente,20,$922.94,04-07-2024,1072.38
3783,Diego Romero,IMPRESORA,,41,$963.82,08-27-2024,1138.69
63,Miguel Flores,Tablet,Norte,67,969.59,2024-11-30,1931.66
9843,Ricardo Vargas,Bocina,Sur,50,869.69,Julio 4 2025,611.36
1643,Jose Martinez,Silla,Occidente,43,$704.11,04-02-2026,1524.25
8540,Paola Rios,Laptop,Norte,20,"$1,094.17",Octubre 21 2024,1994.1
1281,Isabel Guzman,Silla,SUR,36,$891.39,Marzo 7 2026,1738.28
1522,Miguel Flores,Mouse,sur,43,$945.78,05-31-2025,1290.8
7214,Jose Martinez,Bocina,Norte,38,363.48,Abril 12 2024,1401.22
3530,Luis Hernandez,Camara,Occidente,24,863.43,2025-03-17,1719.46
5584,Laura Sanchez,Escritorio,Occidente,51,489.91,19/04/2025,1974.39
3951,Diego Romero,Impresora,Occidente,30,"$1,076.47",03/03/2025,1637.41
4924,Jose Martinez,Impresora,Centro,40,$583.10,Mayo 24 2026,1322.25
8796,Miguel Flores,Silla, Norte,33,$740.75,08/11/2025,1630.43
1153,Ana Garcia,Bocina,Sur ,29,747.84,2025-07-02,876.04
3774,Carlos Ramirez,Monitor,Norte,36,$676.06,13/05/2024,862.81
3186,Ana Garcia,Escritorio,Norte ,42,376.48,17/07/2025,1821.81
5898,Ana Garcia,Camara,Norte,30,487.91,2025-03-25,1175.38
271,Laura Sanchez,Impresora,Occidente,44,$50.00,Abril 5 2026,1339.12
7839,Camila Reyes,Camara,sur,53,897.92,2024-02-12,1466.94
9425,Fernanda Castro,Laptop,,43,$713.24,12/07/2025,2086.09
8340,Valeria Mendoza,Bocina,Norte,31,1615.57,2026-05-28,1423.51
2715,Laura Sanchez,Silla,Centro,31,635.59,29/01/2025,1035.89
7054,Carlos Ramirez,Mouse,occidente,55,$855.41,2024-05-24,1143.95
9677,Camila Reyes,Mouse,Centro,33,$959.79,2024-08-02,1007.83
4349,Jose Martinez,Laptop,Centro,39,$664.37,2025-03-05,556.5
9279,Andres Ortiz,Monitor,Centro ,62,$241.90,Enero 13 2025,1059.87
6484,Andres Ortiz,Escritorio,Norte,47,381.08,01-19-2024,1486.57
6444,Ana Garcia,Camara,Sur,14,"$1,137.99",2026-05-18,1174.92
836,Sofia Torres,Tablet,norte,32,414.32,05-23-2024,1904.52
6948,Ricardo Vargas,Camara,Sur,37,$267.84,2026-01-11,1662.63
3657,Miguel Flores, Impresora,Occidente,22,$793.75,02-01-2025,1141.52
2847,Jorge Morales,Teclado,Sur,57,$667.89,Diciembre 13 2025,1345.53
795,Diego Romero,Tablet,Centro,10,$664.46,27/01/2025,1889.18
3196,Ricardo Vargas,Tablet,Norte,36,1192.72,07/05/2025,1709.02
4425,Ana Garcia,Bocina,?,44,774.47,Julio 23 2024,1557.64
4925,Ricardo Vargas, Mouse, Occidente,18,$431.91,04/09/2024,1707.58
6841,Maria Lopez,Camara,Occidente,17,627.69,2024-09-26,1296.32
8810,Ricardo Vargas,Bocina,Occidente,51,"$1,058.38",24/02/2026,1178.79
37,Valeria Mendoza,Escritorio,norte,48,$-640.74,,955.02
4887,Fernanda Castro,Teclado,norte,44,353.55,05-10-2026,1466.22
6701,Camila Reyes,Tablet,Sur,32,516.72,Marzo 16 2025,1836.13
6657,Jose Martinez,Laptop,occidente,16,"$1,457.61",08-15-2024,1667.66
1877,Valeria Mendoza,Bocina,Occidente,17,$951.12,08-14-2025,1558.86
8491,Camila Reyes,Laptop,sin informacion,60,1160.79,2024-04-30,1381.02
5818,Andres Ortiz,Camara,Occidente,47,$554.29,Enero 8 2025,1246.86
5770,Camila Reyes,Camara, Norte,22,sin dato,32/13/2026,1137.1
4335,Ana Garcia,MONITOR,Norte,33,$811.29,Junio 9 2025,1870.86
5933,Daniela Cruz,Mouse,norte,43,1173.43,06-04-2025,746.46
9492,Jose Martinez,Impresora,SUR,24,$954.88,02-06-2024,922.71
4069,Daniela Cruz,Camara,Sur ,23,196.38,04-12-2026,1797.66
7788,Andres Ortiz, Escritorio,centro,33,$826.87,04/12/2025,1104.05
7538,Pedro Aguilar,Bocina,Sur,45,$830.19,2024-09-09,1133.6
7020,Maria Lopez,Silla,sur,42,1058.56,2025-11-11,1187.99
4401,Isabel Guzman,TECLADO,OCCIDENTE,37,$900.03,16/02/2025,1433.95
