ID_Cliente,Nombre,Ciudad,Edad,Email,Membresia,Num_Compras,Total_Gastado
241,Carlos Y.,Toluca,34.0,carlos.y241@correo.com,Bronce,7,1099.52
216,Fernanda Z.,Toluca,45.0,fernanda.z216@correo.com,Bronce,4,590.31
79,Daniela D.,Queretaro,58.0,daniela.d79@correo.com,Oro,14,3805.47
157,Carlos L.,Toluca,37.0,carlos.l157@correo.com,Oro,11,7214.18
172,Sofia S.,Puebla,44.0,sofia.s172@correo.com,Plata,4,924.21
95,Lorena X.,Guadalajara,18.0,lorena.x95@correo.com,Bronce,1,755.02
163,Valentina H.,CDMX,35.0,,Bronce,0,745.68
228,Daniela A.,CDMX,,daniela.a228@correo.com,Bronce,0,691.53
165,Valentina A.,Puebla,45.0,valentina.a165@correo.com,Bronce,0,862.89
127,Luis T.,Monterrey,,luis.t127@correo.com,Plata,13,3068.55
81,Emilio O.,CDMX,,emilio.o81@correo.com,Bronce,0,620.61
175,Pablo K.,Puebla,29.0,pablo.k175@correo.com,Plata,5,2207.99
12,Natalia E.,Toluca,43.0,natalia.e12@correo.com,Plata,6,1358.11
148,Jorge F.,Puebla,20.0,jorge.f148@correo.com,Bronce,1,818.71
116,Daniela N.,Puebla,50.0,,Plata,3,1975.42
87,Sofia Z.,Toluca,55.0,sofia.z87@correo.com,Bronce,2,933.71
100,Carlos E.,Puebla,,carlos.e100@correo.com,Plata,3,2157.45
142,Jorge E.,Queretaro,51.0,jorge.e142@correo.com,Plata,2,2050.58
47,Andres W.,Monterrey,63.0,andres.w47@correo.com,Bronce,3,911.74
149,Karla H.,Queretaro,21.0,karla.h149@correo.com,Plata,4,2393.62
75,Pablo Z.,CDMX,47.0,pablo.z75@correo.com,Oro,7,4047.1
236,Pablo G.,Toluca,48.0,pablo.g236@correo.com,Plata,9,1829.18
5,Valentina R.,Guadalajara,44.0,valentina.r5@correo.com,Bronce,0,675.06
8,Pablo C.,Guadalajara,36.0,pablo.c8@correo.com,Plata,7,1973.21
58,Carlos O.,Queretaro,23.0,carlos.o58@correo.com,Bronce,3,908.11
85,Miguel L.,Monterrey,58.0,miguel.l85@correo.com,Oro,15,3278.36
174,Ximena P.,CDMX,24.0,ximena.p174@correo.com,Plata,6,1901.26
67,Lorena S.,Guadalajara,20.0,lorena.s67@correo.com,Plata,6,2742.37
99,Miguel E.,Puebla,56.0,miguel.e99@correo.com,Oro,12,6806.41
66,Paola R.,Guadalajara,57.0,paola.r66@correo.com,Plata,6,2199.23
133,Sofia Y.,Monterrey,39.0,sofia.y133@correo.com,Bronce,5,1034.63
9,Jorge E.,Guadalajara,24.0,jorge.e9@correo.com,Bronce,0,581.21
89,Hector F.,Queretaro,18.0,hector.f89@correo.com,Bronce,2,926.63
28,Karla U.,CDMX,23.0,karla.u28@correo.com,Oro,13,5151.47
63,Ricardo D.,Monterrey,50.0,ricardo.d63@correo.com,Plata,10,1924.8
53,Ricardo A.,Toluca,42.0,ricardo.a53@correo.com,Bronce,3,992.21
198,Sofia Y.,Puebla,24.0,sofia.y198@correo.com,Plata,7,3190.96
96,Diego G.,Toluca,18.0,diego.g96@correo.com,Bronce,3,886.44
211,Fernanda S.,Toluca,25.0,fernanda.s211@correo.com,Oro,12,3349.39
140,Valentina D.,Queretaro,30.0,valentina.d140@correo.com,Oro,13,6050.28
91,Valentina Q.,Toluca,31.0,valentina.q91@correo.com,Oro,11,4807.89
235,Camila M.,Guadalajara,45.0,camila.m235@correo.com,Bronce,1,753.62
154,Diego Z.,Toluca,59.0,diego.z154@correo.com,Bronce,3,846.94
178,Maria U.,CDMX,32.0,maria.u178@correo.com,Bronce,0,813.54
32,Jorge M.,CDMX,47.0,,Plata,5,1798.89
208,Natalia Q.,Puebla,47.0,natalia.q208@correo.com,Plata,7,2281.74
123,Renata K.,CDMX,23.0,renata.k123@correo.com,Oro,16,5993.67
14,Hector Y.,Toluca,61.0,hector.y14@correo.com,Bronce,2,1065.51
10,Sofia P.,Guadalajara,52.0,sofia.p10@correo.com,Bronce,0,999.86
19,Karla P.,Monterrey,24.0,karla.p19@correo.com,Bronce,0,831.91
102,Maria B.,Toluca,55.0,maria.b102@correo.com,Plata,9,1586.96
220,Lorena Y.,Puebla,19.0,lorena.y220@correo.com,Oro,14,4823.77
246,Sofia K.,Monterrey,47.0,sofia.k246@correo.com,Bronce,0,589.95
82,Valentina J.,Queretaro,29.0,valentina.j82@correo.com,Bronce,0,854.08
15,Pablo Z.,Queretaro,34.0,pablo.z15@correo.com,Bronce,3,984.24
41,Maria U.,Toluca,22.0,maria.u41@correo.com,Oro,15,3456.48
46,Natalia N.,CDMX,31.0,natalia.n46@correo.com,Bronce,0,670.26
224,Jorge M.,CDMX,40.0,jorge.m224@correo.com,Oro,15,5937.65
33,Sofia R.,CDMX,23.0,sofia.r33@correo.com,Bronce,0,806.74
78,Jorge A.,Puebla,60.0,jorge.a78@correo.com,Plata,8,2498.43
155,Valentina M.,Puebla,39.0,valentina.m155@correo.com,Oro,7,4769.78
129,Daniela J.,Puebla,43.0,daniela.j129@correo.com,Plata,4,2735.51
169,Paola H.,Queretaro,29.0,paola.h169@correo.com,Bronce,0,880.02
29,Sergio B.,Queretaro,30.0,sergio.b29@correo.com,Plata,5,2271.92
64,Natalia H.,Guadalajara,31.0,natalia.h64@correo.com,Plata,8,2466.84
83,Maria I.,CDMX,39.0,maria.i83@correo.com,Bronce,3,924.67
185,Camila L.,Guadalajara,38.0,camila.l185@correo.com,Plata,4,2583.8
191,Pablo Z.,Queretaro,50.0,pablo.z191@correo.com,Bronce,1,632.91
16,Hector P.,CDMX,,hector.p16@correo.com,Bronce,3,1042.2
42,Ximena G.,CDMX,39.0,ximena.g42@correo.com,Plata,7,2993.27
59,Ximena I.,Toluca,36.0,ximena.i59@correo.com,Plata,6,2197.45
134,Sergio G.,Monterrey,25.0,sergio.g134@correo.com,Bronce,3,1016.92
200,Natalia H.,CDMX,31.0,natalia.h200@correo.com,Bronce,0,818.19
37,Ivan E.,Monterrey,19.0,ivan.e37@correo.com,Bronce,0,1050.77
223,Pablo L.,Queretaro,40.0,pablo.l223@correo.com,Bronce,4,842.25
135,Hector A.,Guadalajara,56.0,hector.a135@correo.com,Bronce,3,653.1
234,Ximena U.,Toluca,48.0,ximena.u234@correo.com,Bronce,0,876.96
52,Maria V.,Monterrey,,maria.v52@correo.com,Bronce,6,971.11
245,Miguel H.,Toluca,42.0,miguel.h245@correo.com,Bronce,2,303.37
122,Renata R.,Monterrey,27.0,renata.r122@correo.com,Bronce,3,901.91
180,Camila S.,Queretaro,45.0,camila.s180@correo.com,Bronce,0,1131.79
166,Karla R.,Toluca,39.0,karla.r166@correo.com,Plata,6,2908.64
86,Pablo V.,Queretaro,54.0,pablo.v86@correo.com,Plata,8,3009.61
98,Pablo Y.,Toluca,20.0,pablo.y98@correo.com,Plata,6,2450.26
233,Ana G.,Queretaro,43.0,,Bronce,4,994.55
235,Camila M.,Guadalajara,45.0,camila.m235@correo.com,Bronce,1,753.62
181,Emilio C.,Toluca,43.0,emilio.c181@correo.com,Bronce,3,941.41
209,Fernanda V.,Monterrey,63.0,fernanda.v209@correo.com,Bronce,2,982.4
92,Karla H.,Queretaro,48.0,,Bronce,1,1227.16
226,Diego U.,CDMX,28.0,diego.u226@correo.com,Bronce,2,1341.11
218,Sofia P.,Monterrey,32.0,sofia.p218@correo.com,Bronce,2,982.21
213,Hector T.,Toluca,57.0,hector.t213@correo.com,Plata,8,1759.88
179,Lorena A.,Puebla,,lorena.a179@correo.com,Bronce,4,1129.28
38,Karla O.,CDMX,50.0,karla.o38@correo.com,Bronce,5,815.66
170,Ana N.,CDMX,47.0,ana.n170@correo.com,Bronce,0,900.85
126,Daniela C.,Guadalajara,41.0,daniela.c126@correo.com,Bronce,3,1175.92
229,Sergio R.,Monterrey,34.0,sergio.r229@correo.com,Bronce,3,1234.11
105,Hector Z.,Toluca,31.0,hector.z105@correo.com,Oro,7,3858.9
106,Hector Z.,Puebla,57.0,hector.z106@correo.com,Plata,6,2324.73
242,Daniela W.,Toluca,43.0,daniela.w242@correo.com,Bronce,3,789.96
161,Natalia E.,Guadalajara,54.0,natalia.e161@correo.com,Bronce,3,698.8
50,Hector A.,Toluca,38.0,hector.a50@correo.com,Bronce,7,1039.43
146,Ivan W.,Guadalajara,46.0,ivan.w146@correo.com,Oro,14,5098.74
6,Ivan D.,Monterrey,38.0,ivan.d6@correo.com,Plata,9,1627.13
18,Carlos J.,CDMX,40.0,carlos.j18@correo.com,Plata,8,2382.07
167,Paola Z.,Puebla,,paola.z167@correo.com,Plata,9,2233.94
117,Ana M.,Guadalajara,56.0,ana.m117@correo.com,Plata,5,1431.04
162,Renata F.,Toluca,26.0,renata.f162@correo.com,Oro,14,4671.16
107,Hector D.,Guadalajara,29.0,hector.d107@correo.com,Oro,12,6648.77
243,Sofia T.,Puebla,,sofia.t243@correo.com,Oro,9,4767.55
65,Valentina G.,Queretaro,54.0,valentina.g65@correo.com,Plata,6,1909.65
27,Valentina M.,Queretaro,37.0,valentina.m27@correo.com,Oro,16,5958.53
206,Fernanda O.,Puebla,46.0,fernanda.o206@correo.com,Plata,10,1319.89
222,Andres U.,Queretaro,37.0,andres.u222@correo.com,Bronce,5,1126.69
194,Ricardo M.,Queretaro,40.0,,Bronce,1,560.85
230,Maria C.,Puebla,44.0,,Bronce,0,661.89
118,Carlos I.,Guadalajara,,carlos.i118@correo.com,Bronce,6,552.68
151,Ivan Z.,Monterrey,18.0,ivan.z151@correo.com,Bronce,3,1001.32
244,Renata P.,Guadalajara,38.0,renata.p244@correo.com,Bronce,2,739.45
30,Andres C.,Queretaro,57.0,andres.c30@correo.com,Bronce,0,1085.34
80,Renata O.,CDMX,19.0,,Bronce,3,998.44
141,Natalia T.,Toluca,22.0,natalia.t141@correo.com,Plata,3,3018.07
132,Sergio Y.,Guadalajara,58.0,sergio.y132@correo.com,Plata,4,2537.75
40,Miguel M.,CDMX,18.0,miguel.m40@correo.com,Plata,7,2408.36
225,Ximena Q.,Toluca,24.0,ximena.q225@correo.com,Bronce,3,1335.1
55,Camila O.,Queretaro,52.0,,Bronce,3,425.71
44,Paola I.,Guadalajara,56.0,paola.i44@correo.com,Oro,13,2931.13
225,Ximena Q.,Toluca,24.0,ximena.q225@correo.com,Bronce,3,1335.1
49,Renata H.,Puebla,32.0,renata.h49@correo.com,Plata,2,2014.74
181,Emilio C.,Toluca,43.0,emilio.c181@correo.com,Bronce,3,941.41
60,Pablo C.,Queretaro,64.0,pablo.c60@correo.com,Bronce,0,1135.24
144,Valentina P.,Monterrey,64.0,,Bronce,3,845.9
54,Andres X.,Guadalajara,61.0,andres.x54@correo.com,Oro,15,5770.17
21,Camila H.,Monterrey,48.0,camila.h21@correo.com,Oro,14,6088.19
125,Ivan X.,Puebla,50.0,ivan.x125@correo.com,Oro,12,4179.93
68,Ricardo S.,Guadalajara,23.0,ricardo.s68@correo.com,Bronce,2,774.5
247,Ximena D.,Puebla,42.0,ximena.d247@correo.com,Bronce,2,492.61
171,Sofia Y.,Queretaro,59.0,sofia.y171@correo.com,Bronce,0,1286.73
77,Paola G.,Queretaro,49.0,paola.g77@correo.com,Oro,14,4327.92
214,Andres K.,Toluca,28.0,andres.k214@correo.com,Oro,16,5791.07
108,Renata X.,Puebla,,renata.x108@correo.com,Bronce,2,1532.07
203,Camila M.,Guadalajara,46.0,camila.m203@correo.com,Bronce,3,873.7
13,Ximena H.,Queretaro,62.0,ximena.h13@correo.com,Bronce,4,951.63
17,Camila L.,Queretaro,46.0,camila.l17@correo.com,Bronce,4,584.04
48,Lorena L.,Puebla,39.0,lorena.l48@correo.com,Bronce,1,838.38
188,Ricardo Y.,Puebla,24.0,ricardo.y188@correo.com,Oro,8,6841.19
120,Sofia U.,CDMX,19.0,sofia.u120@correo.com,Bronce,2,837.74
22,Ricardo A.,CDMX,64.0,ricardo.a22@correo.com,Bronce,5,1232.84
147,Ana B.,Monterrey,41.0,ana.b147@correo.com,Bronce,0,1155.08
210,Hector C.,Monterrey,37.0,hector.c210@correo.com,Bronce,3,993.93
131,Daniela A.,Toluca,22.0,daniela.a131@correo.com,Oro,11,6412.62
204,Pablo A.,Guadalajara,38.0,pablo.a204@correo.com,Oro,10,3752.69
239,Diego T.,Toluca,29.0,diego.t239@correo.com,Bronce,2,1413.37
74,Carlos X.,CDMX,48.0,carlos.x74@correo.com,Plata,6,2256.06
31,Andres H.,Puebla,59.0,andres.h31@correo.com,Plata,6,2167.39
187,Maria O.,Monterrey,25.0,maria.o187@correo.com,Bronce,2,900.3
34,Sergio M.,Guadalajara,23.0,sergio.m34@correo.com,Plata,11,2548.65
250,Luis L.,CDMX,42.0,luis.l250@correo.com,Plata,6,2928.73
215,Ximena A.,Queretaro,62.0,ximena.a215@correo.com,Plata,6,2194.15
156,Renata N.,Puebla,51.0,renata.n156@correo.com,Bronce,0,839.22
232,Ivan V.,Monterrey,50.0,ivan.v232@correo.com,Bronce,4,790.61
124,Andres J.,Monterrey,23.0,andres.j124@correo.com,Bronce,2,940.58
59,Ximena I.,Toluca,36.0,ximena.i59@correo.com,Plata,6,2197.45
164,Valentina D.,Guadalajara,64.0,valentina.d164@correo.com,Bronce,0,1210.88
101,Karla N.,Puebla,64.0,karla.n101@correo.com,Bronce,1,855.7
150,Luis I.,Queretaro,46.0,luis.i150@correo.com,Bronce,2,677.56
201,Ricardo Y.,Puebla,22.0,ricardo.y201@correo.com,Bronce,2,641.43
92,Karla H.,Queretaro,48.0,,Bronce,1,1227.16
238,Valentina N.,Monterrey,32.0,valentina.n238@correo.com,Bronce,8,702.11
62,Ximena R.,CDMX,59.0,ximena.r62@correo.com,Bronce,2,945.62
217,Luis E.,Puebla,46.0,luis.e217@correo.com,Plata,3,2026.09
36,Luis Y.,CDMX,45.0,luis.y36@correo.com,Bronce,5,976.55
11,Sergio U.,Queretaro,,sergio.u11@correo.com,Bronce,4,1004.26
250,Luis L.,CDMX,42.0,luis.l250@correo.com,Plata,6,2928.73
72,Maria C.,Monterrey,49.0,maria.c72@correo.com,Plata,2,2735.64
231,Andres H.,Toluca,45.0,andres.h231@correo.com,Bronce,0,602.43
237,Renata I.,Toluca,46.0,renata.i237@correo.com,Bronce,1,739.72
94,Ricardo N.,Queretaro,19.0,ricardo.n94@correo.com,Plata,4,2822.73
160,Hector A.,Guadalajara,22.0,hector.a160@correo.com,Bronce,2,428.07
119,Fernanda A.,CDMX,38.0,fernanda.a119@correo.com,Bronce,7,1046.98
145,Natalia S.,Toluca,53.0,natalia.s145@correo.com,Plata,4,2256.12
221,Carlos T.,CDMX,32.0,carlos.t221@correo.com,Bronce,3,1244.65
2,Hector M.,Puebla,24.0,hector.m2@correo.com,Oro,14,4867.27
240,Miguel P.,Queretaro,55.0,miguel.p240@correo.com,Bronce,4,966.94
84,Karla V.,CDMX,24.0,karla.v84@correo.com,Bronce,3,1450.15
249,Hector Y.,Guadalajara,63.0,hector.y249@correo.com,Plata,8,1542.55
196,Sofia R.,Guadalajara,,sofia.r196@correo.com,Bronce,5,706.31
88,Diego I.,CDMX,27.0,diego.i88@correo.com,Bronce,0,992.51
138,Ana V.,Guadalajara,27.0,ana.v138@correo.com,Plata,7,1762.97
5,Valentina R.,Guadalajara,44.0,valentina.r5@correo.com,Bronce,0,675.06
39,Fernanda O.,Puebla,43.0,fernanda.o39@correo.com,Bronce,4,1070.16
207,Hector D.,CDMX,36.0,hector.d207@correo.com,Plata,5,1780.91
202,Lorena Y.,Puebla,32.0,lorena.y202@correo.com,Bronce,0,470.67
227,Karla W.,Toluca,22.0,karla.w227@correo.com,Bronce,3,623.7
35,Lorena L.,Puebla,,lorena.l35@correo.com,Bronce,7,900.67
193,Miguel D.,Queretaro,60.0,miguel.d193@correo.com,Bronce,4,842.71
190,Diego K.,Toluca,41.0,diego.k190@correo.com,Bronce,0,581.02
113,Sergio F.,Toluca,23.0,sergio.f113@correo.com,Oro,9,5540.74
182,Carlos T.,CDMX,50.0,carlos.t182@correo.com,Bronce,3,1116.6
184,Pablo D.,Queretaro,48.0,pablo.d184@correo.com,Bronce,6,773.67
153,Lorena I.,Guadalajara,28.0,lorena.i153@correo.com,Plata,7,1787.6
57,Sergio H.,Toluca,43.0,sergio.h57@correo.com,Bronce,0,409.45
70,Andres T.,Puebla,64.0,andres.t70@correo.com,Bronce,2,1052.42
192,Miguel H.,Toluca,36.0,miguel.h192@correo.com,Oro,12,4545.92
45,Luis O.,Toluca,38.0,luis.o45@correo.com,Bronce,3,664.87
189,Jorge C.,Monterrey,39.0,jorge.c189@correo.com,Plata,6,852.02
20,Andres P.,Puebla,35.0,andres.p20@correo.com,Plata,0,1934.47
7,Sofia R.,Puebla,52.0,sofia.r7@correo.com,Bronce,3,1148.55
56,Luis D.,Puebla,54.0,luis.d56@correo.com,Bronce,3,818.0
76,Andres F.,Monterrey,22.0,andres.f76@correo.com,Bronce,2,706.68
1,Sofia E.,CDMX,63.0,sofia.e1@correo.com,Plata,5,2044.46
173,Hector T.,Puebla,38.0,hector.t173@correo.com,Oro,10,2498.07
136,Diego D.,Toluca,52.0,diego.d136@correo.com,Bronce,3,1057.66
128,Hector T.,Monterrey,53.0,hector.t128@correo.com,Bronce,5,1011.28
177,Pablo W.,Puebla,43.0,pablo.w177@correo.com,Oro,10,5591.36
69,Luis Y.,Puebla,49.0,luis.y69@correo.com,Bronce,0,1081.28
231,Andres H.,Toluca,45.0,andres.h231@correo.com,Bronce,0,602.43
168,Maria D.,Queretaro,54.0,maria.d168@correo.com,Oro,10,5046.53
137,Miguel B.,Guadalajara,20.0,miguel.b137@correo.com,Plata,6,1454.3
219,Andres E.,Guadalajara,61.0,andres.e219@correo.com,Plata,8,2537.13
43,Pablo Y.,Guadalajara,51.0,pablo.y43@correo.com,Plata,7,1924.59
111,Fernanda V.,Queretaro,63.0,fernanda.v111@correo.com,Plata,6,2334.06
90,Karla Y.,Queretaro,60.0,karla.y90@correo.com,Bronce,3,1000.06
73,Andres P.,Guadalajara,24.0,andres.p73@correo.com,Bronce,4,1057.18
24,Emilio Y.,Toluca,51.0,emilio.y24@correo.com,Plata,1,2923.14
143,Fernanda J.,Queretaro,42.0,fernanda.j143@correo.com,Bronce,2,640.74
186,Andres D.,Toluca,62.0,andres.d186@correo.com,Bronce,8,924.89
93,Ivan Q.,Guadalajara,60.0,ivan.q93@correo.com,Bronce,3,797.29
104,Ana L.,CDMX,29.0,ana.l104@correo.com,Plata,0,1323.96
152,Diego U.,Puebla,19.0,diego.u152@correo.com,Oro,9,5003.89
212,Pablo D.,Puebla,37.0,pablo.d212@correo.com,Plata,7,2670.08
68,Ricardo S.,Guadalajara,23.0,ricardo.s68@correo.com,Bronce,2,774.5
26,Renata M.,Guadalajara,62.0,renata.m26@correo.com,Bronce,5,979.36
197,Paola I.,Toluca,63.0,paola.i197@correo.com,Plata,9,3551.58
176,Andres F.,Toluca,62.0,andres.f176@correo.com,Bronce,5,1055.27
